iter	Passed	Remaining
816	2477	554
817	2480	551
818	2483	548
819	2486	545
820	2489	542
821	2492	539
822	2495	536
823	2500	534
824	2505	531
825	2509	528
826	2513	525
827	2517	522
828	2520	520
829	2524	517
830	2528	514
831	2532	511
832	2535	508
833	2540	505
834	2544	502
835	2547	499
836	2550	496
837	2555	494
838	2559	491
839	2562	488
840	2565	485
841	2569	482
842	2574	479
843	2577	476
844	2581	473
845	2585	470
846	2588	467
847	2592	464
848	2595	461
849	2598	458
850	2601	455
851	2604	452
852	2607	449
853	2610	446
854	2613	443
855	2616	440
856	2619	437
857	2622	433
858	2625	430
859	2628	427
860	2631	424
861	2634	421
862	2637	418
863	2640	415
864	2643	412
865	2646	409
866	2649	406
867	2652	403
868	2655	400
869	2658	397
870	2661	394
871	2664	391
872	2667	388
873	2670	384
874	2673	381
875	2676	378
876	2679	375
877	2682	372
878	2685	369
879	2688	366
880	2691	363
881	2694	360
882	2697	357
883	2700	354
884	2703	351
885	2706	348
886	2709	345
887	2712	342
888	2715	339
889	2718	335
890	2721	332
891	2724	329
892	2727	326
893	2730	323
894	2733	320
895	2736	317
896	2739	314
897	2742	311
898	2746	308
899	2749	305
900	2752	302
901	2755	299
902	2757	296
903	2761	293
904	2764	290
905	2767	287
906	2770	284
907	2772	280
908	2775	277
909	2779	274
910	2782	271
911	2784	268
912	2787	265
913	2790	262
914	2793	259
915	2796	256
916	2799	253
917	2803	250
918	2806	247
919	2810	244
920	2813	241
921	2816	238
922	2819	235
923	2822	232
924	2826	229
925	2829	226
926	2832	223
927	2835	219
928	2838	216
929	2841	213
930	2844	210
931	2847	207
932	2850	204
933	2853	201
934	2856	198
935	2859	195
936	2862	192
937	2865	189
938	2868	186
939	2871	183
940	2874	180
941	2877	177
942	2880	174
943	2883	171
944	2886	167
945	2889	164
946	2892	161
947	2895	158
948	2898	155
949	2901	152
950	2904	149
951	2907	146
952	2910	143
953	2913	140
954	2916	137
955	2920	134
956	2923	131
957	2926	128
958	2929	125
959	2932	122
960	2935	119
961	2938	116
962	2941	113
963	2944	109
964	2947	106
965	2950	103
966	2953	100
967	2956	97
968	2959	94
969	2962	91
970	2965	88
971	2968	85
972	2972	82
973	2975	79
974	2978	76
975	2981	73
976	2984	70
977	2987	67
978	2990	64
979	2993	61
980	2996	58
981	2999	54
982	3002	51
983	3005	48
984	3008	45
985	3011	42
986	3014	39
987	3017	36
988	3020	33
989	3023	30
990	3026	27
991	3029	24
992	3032	21
993	3035	18
994	3038	15
995	3041	12
996	3044	9
997	3047	6
998	3050	3
999	3053	0
